Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PSave%
Thomas Strakosha,ALB,GK,Brentford,29,1995,2,1,135,1.5,1.33,1.33,5.33,4.0,75.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,
James Trafford,ENG,GK,Burnley,21,2002,28,28,2520,28.0,2.21,2.21,5.93,3.79,65.7,0.11,0.18,0.71,0.07,7.1,0.18,0.18,0.0,0.0,0.0
Mark Travers,IRL,GK,Bournemouth,24,1999,2,2,180,2.0,0.0,0.0,2.5,2.5,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
Matt Turner,USA,GK,Nott'ham Forest,29,1994,17,17,1530,17.0,1.65,1.65,4.71,3.06,67.5,0.24,0.29,0.47,0.12,11.8,0.12,0.12,0.0,0.0,0.0
Bart Verbruggen,NED,GK,Brighton,21,2002,18,18,1620,18.0,1.39,1.39,4.28,2.89,71.4,0.33,0.39,0.28,0.17,16.7,0.17,0.17,0.0,0.0,0.0
Guglielmo Vicario,ITA,GK,Tottenham,27,1996,34,34,3060,34.0,1.59,1.59,4.29,2.79,67.1,0.53,0.18,0.29,0.18,17.6,0.18,0.18,0.0,0.0,0.0
Odisseas Vlachodimos,GRE,GK,Nott'ham Forest,30,1994,5,5,450,5.0,2.4,2.4,4.4,2.0,50.0,0.2,0.0,0.8,0.2,20.0,0.2,0.2,0.0,0.0,0.0
Alaa Bellaarouch,MAR,GK,Strasbourg,22,2002,12,12,1080,12.0,1.67,1.67,4.08,2.42,63.3,0.25,0.17,0.58,0.17,16.7,0.25,0.17,0.08,0.0,33.3
Dimitry Bertaud,COD,GK,Montpellier,25,1998,2,2,180,2.0,3.5,3.5,7.0,3.5,50.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,
Marco Bizot,NED,GK,Brest,33,1991,29,29,2606,29.0,1.14,1.14,4.28,3.1,75.0,0.48,0.28,0.24,0.38,37.9,0.1,0.07,0.03,0.0,33.3
Rubén Blanco,ESP,GK,Marseille,28,1995,2,1,121,1.3,1.54,1.49,4.62,3.08,66.7,0.0,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,
Marcin Bułka,POL,GK,Nice,24,1999,31,31,2790,31.0,0.81,0.81,3.06,2.19,78.9,0.45,0.29,0.26,0.52,51.6,0.26,0.16,0.1,0.0,37.5
Lucas Chevalier,FRA,GK,Lille,22,2001,31,31,2790,31.0,0.87,0.87,3.61,2.74,78.6,0.48,0.32,0.19,0.48,48.4,0.16,0.1,0.06,0.0,40.0
Grégoire Coudert,FRA,GK,Brest,25,1999,3,2,181,2.0,0.0,0.0,2.0,2.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
Rémy Descamps,FRA,GK,Nantes,27,1996,6,6,540,6.0,1.83,1.83,6.17,4.33,73.0,0.33,0.33,0.33,0.17,16.7,0.33,0.17,0.0,0.17,0.0
Arthur Desmas,FRA,GK,Le Havre,30,1994,30,30,2700,30.0,1.3,1.3,4.6,3.33,72.5,0.2,0.37,0.43,0.23,23.3,0.1,0.03,0.03,0.03,50.0
Mory Diaw,SEN,GK,Clermont Foot,30,1993,27,27,2430,27.0,1.63,1.63,6.22,4.59,76.8,0.15,0.3,0.56,0.19,18.5,0.26,0.19,0.04,0.04,16.7
Guillaume Dietsch,FRA,GK,Metz,23,2001,1,0,73,0.8,1.25,1.23,3.75,2.5,66.7,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
Yehvann Diouf,FRA,GK,Reims,24,1999,31,31,2790,31.0,1.45,1.45,4.0,2.55,68.5,0.35,0.23,0.42,0.23,22.6,0.23,0.19,0.03,0.0,14.3
Gianluigi Donnarumma,ITA,GK,Paris S-G,25,1999,25,25,2169,24.1,0.83,0.83,4.56,3.69,84.5,0.75,0.25,0.04,0.41,40.0,0.17,0.12,0.04,0.0,25.0
Mathieu Gorgelin,FRA,GK,Le Havre,33,1990,1,1,90,1.0,2.0,2.0,5.0,3.0,80.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Philipp Köhn,SUI,GK,Monaco,26,1998,22,22,1980,22.0,1.45,1.45,4.41,2.95,72.2,0.5,0.23,0.27,0.23,22.7,0.27,0.23,0.05,0.0,16.7
Alban Lafont,FRA,GK,Nantes,25,1999,25,25,2226,24.7,1.5,1.5,4.33,2.83,72.0,0.28,0.12,0.61,0.24,24.0,0.28,0.28,0.0,0.0,0.0
Benjamin Lecomte,FRA,GK,Montpellier,33,1991,30,30,2700,30.0,1.23,1.23,4.57,3.4,75.9,0.3,0.37,0.33,0.33,33.3,0.17,0.13,0.03,0.0,20.0
Anthony Lopes,POR,GK,Lyon,33,1990,28,28,2520,28.0,1.61,1.61,5.04,3.43,70.9,0.46,0.14,0.39,0.29,28.6,0.18,0.14,0.04,0.0,20.0
Pau López,ESP,GK,Marseille,29,1994,30,30,2669,29.7,1.21,1.21,3.8,2.59,69.9,0.37,0.37,0.27,0.24,23.3,0.07,0.07,0.0,0.0,0.0
Radosław Majecki,POL,GK,Monaco,24,1999,9,9,810,9.0,1.0,1.0,5.33,4.44,81.3,0.67,0.22,0.11,0.56,55.6,0.0,0.0,0.0,0.0,
Steve Mandanda,FRA,GK,Rennes,39,1985,31,31,2790,31.0,1.32,1.32,4.39,3.16,71.3,0.35,0.29,0.35,0.23,22.6,0.06,0.06,0.0,0.0,0.0
Yvon Mvogo,SUI,GK,Lorient,29,1994,32,32,2880,32.0,1.97,1.97,6.22,4.28,71.9,0.19,0.25,0.56,0.09,9.4,0.22,0.22,0.0,0.0,0.0
Keylor Navas,CRC,GK,Paris S-G,37,1986,3,3,270,3.0,2.0,2.0,3.33,1.33,50.0,0.33,0.67,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0
Massamba Ndiaye,SEN,GK,Clermont Foot,22,2001,4,4,360,4.0,1.5,1.5,6.0,4.5,79.2,0.25,0.5,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0
Alexandre Oukidja,ALG,GK,Metz,35,1988,31,31,2717,30.2,1.66,1.66,5.53,3.87,73.1,0.26,0.17,0.6,0.2,19.4,0.17,0.17,0.0,0.0,0.0
Denis Petrić,SRB,GK,Nantes,35,1988,1,0,24,0.3,3.33,3.75,3.33,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
Guillaume Restes,FRA,GK,Toulouse,19,2005,32,32,2880,32.0,1.31,1.31,4.06,2.75,70.8,0.31,0.31,0.38,0.19,18.8,0.13,0.13,0.0,0.0,0.0
Rémy Riou,FRA,GK,Lyon,36,1987,3,3,270,3.0,2.0,2.0,4.67,2.67,57.1,0.0,0.33,0.67,0.33,33.3,0.0,0.0,0.0,0.0,
Brice Samba,FRA,GK,Lens,30,1994,32,32,2880,32.0,1.06,1.06,4.06,3.0,78.5,0.44,0.22,0.34,0.44,43.8,0.25,0.19,0.03,0.03,14.3
Matz Sels,BEL,GK,Strasbourg,32,1992,19,19,1710,19.0,1.26,1.26,3.26,2.11,62.9,0.32,0.37,0.32,0.16,15.8,0.05,0.05,0.0,0.0,0.0
Arnau Tenas,ESP,GK,Paris S-G,22,2001,4,3,349,3.9,0.77,0.77,4.1,3.33,81.3,0.26,0.51,0.0,0.26,33.3,0.0,0.0,0.0,0.0,
Noah Atubolu,GER,GK,Freiburg,21,2002,31,31,2790,31.0,1.77,1.77,4.61,2.87,63.6,0.35,0.23,0.42,0.29,29.0,0.1,0.1,0.0,0.0,0.0
Daniel Batz,GER,GK,Mainz 05,33,1991,4,4,360,4.0,0.75,0.75,4.25,3.5,82.4,0.0,0.5,0.5,0.25,25.0,0.0,0.0,0.0,0.0,
Oliver Baumann,GER,GK,Hoffenheim,33,1990,32,32,2880,32.0,2.0,2.0,6.41,4.34,69.8,0.34,0.19,0.47,0.03,3.1,0.16,0.06,0.09,0.0,60.0
Janis Blaswich,GER,GK,RB Leipzig,33,1991,20,20,1800,20.0,1.4,1.4,3.5,2.1,64.3,0.5,0.15,0.35,0.25,25.0,0.15,0.15,0.0,0.0,0.0
Fabian Bredlow,GER,GK,Stuttgart,29,1995,4,4,360,4.0,0.75,0.75,5.5,4.75,86.4,0.75,0.25,0.0,0.25,25.0,0.0,0.0,0.0,0.0,
Alexander Brunst,GER,GK,Darmstadt 98,28,1995,1,1,90,1.0,1.0,1.0,3.0,2.0,66.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Koen Casteels,BEL,GK,Wolfsburg,31,1992,22,22,1980,22.0,1.55,1.55,4.77,3.32,69.5,0.32,0.27,0.41,0.14,13.6,0.14,0.09,0.0,0.05,0.0
Finn Dahmen,GER,GK,Augsburg,26,1998,31,31,2790,31.0,1.68,1.68,5.1,3.42,71.5,0.32,0.29,0.39,0.1,9.7,0.32,0.23,0.06,0.03,22.2
Jens Grahl,GER,GK,Eint Frankfurt,35,1988,2,2,180,2.0,1.0,1.0,4.5,3.5,77.8,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Péter Gulácsi,HUN,GK,RB Leipzig,33,1990,12,12,1080,12.0,0.58,0.58,2.75,2.17,78.8,0.83,0.17,0.0,0.5,50.0,0.08,0.0,0.0,0.08,
Lukáš Hrádecký,FIN,GK,Leverkusen,34,1989,30,30,2700,30.0,0.73,0.73,3.17,2.43,76.8,0.83,0.17,0.0,0.47,46.7,0.0,0.0,0.0,0.0,
Gregor Kobel,SUI,GK,Dortmund,26,1997,25,25,2185,24.3,1.36,1.36,4.73,3.37,75.7,0.49,0.33,0.21,0.25,24.0,0.25,0.21,0.04,0.0,16.7
Matej Kovar,CZE,GK,Leverkusen,23,2000,1,1,90,1.0,0.0,0.0,3.0,3.0,100.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
Andreas Luthe,GER,GK,Bochum,37,1987,1,1,90,1.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alexander Meyer,GER,GK,Dortmund,33,1991,7,6,605,6.7,0.9,0.89,3.13,2.39,71.4,0.6,0.15,0.15,0.45,50.0,0.0,0.0,0.0,0.0,
Kevin Müller,GER,GK,Heidenheim,33,1991,31,31,2790,31.0,1.68,1.68,5.1,3.48,71.5,0.29,0.32,0.39,0.19,19.4,0.32,0.23,0.03,0.06,12.5
Manuel Neuer,GER,GK,Bayern Munich,38,1986,20,20,1800,20.0,1.3,1.3,3.65,2.3,67.1,0.75,0.05,0.2,0.3,30.0,0.15,0.1,0.05,0.0,33.3
Moritz Nicolas,GER,GK,M'Gladbach,26,1997,26,26,2340,26.0,1.81,1.81,5.92,4.12,72.1,0.23,0.38,0.38,0.15,15.4,0.15,0.15,0.0,0.0,0.0
Alexander Nübel,GER,GK,Stuttgart,27,1996,27,27,2430,27.0,1.3,1.3,3.63,2.44,66.3,0.63,0.11,0.26,0.33,33.3,0.07,0.07,0.0,0.0,0.0
Jonas Omlin,SUI,GK,M'Gladbach,30,1994,5,5,450,5.0,2.6,2.6,6.8,4.2,67.6,0.2,0.2,0.6,0.0,0.0,0.4,0.4,0.0,0.0,0.0
Jiří Pavlenka,CZE,GK,Werder Bremen,32,1992,7,7,630,7.0,2.43,2.43,5.43,3.0,60.5,0.29,0.0,0.71,0.14,14.3,0.29,0.29,0.0,0.0,0.0
Pavao Pervan,AUT,GK,Wolfsburg,36,1987,9,9,810,9.0,1.89,1.89,4.0,2.22,52.8,0.22,0.11,0.67,0.22,22.2,0.0,0.0,0.0,0.0,
Manuel Riemann,GER,GK,Bochum,35,1988,30,30,2700,30.0,1.93,1.93,5.23,3.33,68.2,0.2,0.4,0.4,0.13,13.3,0.33,0.27,0.07,0.0,20.0
Frederik Rønnow,DEN,GK,Union Berlin,31,1992,30,30,2700,30.0,1.6,1.6,4.93,3.3,70.3,0.27,0.2,0.53,0.23,23.3,0.2,0.13,0.07,0.0,33.3
Marcel Schuhen,GER,GK,Darmstadt 98,31,1993,30,30,2700,30.0,2.4,2.4,6.3,3.93,62.4,0.1,0.23,0.67,0.1,10.0,0.07,0.03,0.03,0.0,50.0
Marvin Schwäbe,GER,GK,Köln,29,1995,31,31,2790,31.0,1.74,1.74,5.0,3.26,66.5,0.13,0.35,0.52,0.1,9.7,0.06,0.06,0.0,0.0,0.0
Alexander Schwolow,GER,GK,Union Berlin,31,1992,1,1,90,1.0,2.0,2.0,6.0,4.0,66.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kevin Trapp,GER,GK,Eint Frankfurt,33,1990,29,29,2610,29.0,1.38,1.38,4.24,2.79,72.4,0.34,0.38,0.28,0.24,24.1,0.28,0.21,0.07,0.0,25.0
Sven Ulreich,GER,GK,Bayern Munich,35,1988,11,11,990,11.0,1.09,1.09,2.82,1.73,64.5,0.64,0.18,0.18,0.36,36.4,0.09,0.09,0.0,0.0,0.0
Robin Zentner,GER,GK,Mainz 05,29,1994,27,27,2430,27.0,1.7,1.7,4.37,2.7,63.6,0.19,0.41,0.41,0.22,22.2,0.15,0.11,0.0,0.04,0.0
Michael Zetterer,GER,GK,Werder Bremen,28,1995,24,24,2160,24.0,1.38,1.37,4.58,3.25,72.7,0.33,0.29,0.38,0.25,25.0,0.13,0.13,0.0,0.0,0.0
Emil Audero,ITA,GK,Inter,27,1997,2,2,180,2.0,0.0,0.0,2.5,2.5,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,
Etrit Berisha,ALB,GK,Empoli,35,1989,14,14,1260,14.0,1.79,1.79,5.29,3.5,68.9,0.21,0.21,0.57,0.29,28.6,0.21,0.14,0.07,0.0,33.3
Elia Caprile,ITA,GK,Empoli,22,2001,19,19,1710,19.0,1.21,1.21,4.79,3.53,78.0,0.26,0.21,0.53,0.21,21.1,0.21,0.16,0.05,0.0,25.0
Marco Carnesecchi,ITA,GK,Atalanta,23,2000,23,23,2070,23.0,1.09,1.09,4.13,2.96,76.8,0.52,0.22,0.26,0.35,34.8,0.26,0.13,0.09,0.04,40.0
Michele Cerofolini,ITA,GK,Frosinone,25,1999,4,3,315,3.5,1.43,1.43,4.29,3.14,66.7,0.29,0.29,0.29,0.29,33.3,0.29,0.0,0.0,0.29,
Oliver Christensen,DEN,GK,Fiorentina,25,1999,3,3,270,3.0,2.33,2.33,5.0,2.67,60.0,0.33,0.33,0.33,0.0,0.0,0.33,0.33,0.0,0.0,0.0
Andrea Consigli,ITA,GK,Sassuolo,37,1987,32,32,2880,32.0,2.0,2.0,4.81,2.84,62.3,0.16,0.25,0.59,0.06,6.3,0.28,0.19,0.03,0.06,14.3
Nikita Contini Baranovsky,ITA,GK,Napoli,27,1996,1,0,17,0.2,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,5.0,,0.0,0.0,0.0,0.0,
Benoît Costil,FRA,GK,Salernitana,36,1987,13,13,1170,13.0,2.23,2.23,5.08,2.92,60.6,0.15,0.23,0.62,0.08,7.7,0.23,0.23,0.0,0.0,0.0
Alessio Cragno,ITA,GK,Sassuolo,29,1994,2,2,180,2.0,3.0,3.0,4.0,1.5,37.5,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0
Michele Di Gregorio,ITA,GK,Monza,26,1997,31,31,2692,29.9,1.04,1.04,4.85,3.75,80.7,0.37,0.33,0.33,0.4,38.7,0.17,0.1,0.07,0.0,40.0
Wladimiro Falcone,ITA,GK,Lecce,29,1995,34,34,3060,34.0,1.44,1.44,4.5,3.06,71.2,0.24,0.35,0.41,0.18,17.6,0.18,0.15,0.03,0.0,16.7
Luca Gemello,ITA,GK,Torino,23,2000,1,1,90,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Pierluigi Gollini,ITA,GK,Napoli,29,1995,7,7,630,7.0,1.14,1.14,3.43,2.29,66.7,0.43,0.14,0.43,0.14,14.3,0.0,0.0,0.0,0.0,
Nicola Leali,ITA,GK,Genoa,31,1993,2,1,91,1.0,2.0,1.98,8.0,6.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mike Maignan,FRA,GK,Milan,28,1995,29,29,2609,29.0,1.17,1.17,4.14,2.97,77.5,0.66,0.17,0.17,0.34,34.5,0.24,0.24,0.0,0.0,0.0
Christos Mandas,GRE,GK,Lazio,22,2001,7,6,541,6.0,0.67,0.67,3.17,2.5,78.9,0.83,0.0,0.17,0.5,50.0,0.0,0.0,0.0,0.0,
Josep Martinez,ESP,GK,Genoa,25,1998,33,33,2969,33.0,1.15,1.15,3.42,2.27,68.1,0.3,0.36,0.33,0.24,24.2,0.09,0.06,0.03,0.0,33.3
Alex Meret,ITA,GK,Napoli,27,1997,27,27,2413,26.8,1.31,1.31,3.47,2.09,64.5,0.37,0.37,0.26,0.15,14.8,0.15,0.07,0.07,0.0,50.0
Vanja Milinković-Savić,SRB,GK,Torino,27,1997,34,34,3060,34.0,0.85,0.85,3.68,2.82,80.8,0.32,0.41,0.26,0.53,52.9,0.15,0.15,0.0,0.0,0.0
Antonio Mirante,ITA,GK,Milan,40,1983,1,1,90,1.0,1.0,1.0,4.0,3.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Lorenzo Montipò,ITA,GK,Hellas Verona,28,1996,34,34,3060,34.0,1.32,1.32,4.29,3.0,70.5,0.21,0.29,0.5,0.24,23.5,0.06,0.06,0.0,0.0,0.0
Juan Musso,ARG,GK,Atalanta,29,1994,10,10,900,10.0,1.2,1.2,3.1,2.0,67.7,0.5,0.1,0.4,0.5,50.0,0.2,0.2,0.0,0.0,0.0
Guillermo Ochoa,MEX,GK,Salernitana,38,1985,21,21,1890,21.0,2.1,2.1,5.48,3.43,67.8,0.0,0.29,0.71,0.05,4.8,0.33,0.33,0.0,0.0,0.0
Maduka Okoye,NGA,GK,Udinese,24,1999,17,17,1530,17.0,1.35,1.35,4.53,3.24,72.7,0.18,0.35,0.47,0.18,17.6,0.12,0.12,0.0,0.0,0.0
Rui Patrício,POR,GK,Roma,36,1988,23,23,2070,23.0,1.17,1.17,3.22,2.13,66.2,0.48,0.22,0.3,0.26,26.1,0.13,0.09,0.0,0.04,0.0
Mattia Perin,ITA,GK,Juventus,31,1992,2,2,180,2.0,0.5,0.5,2.0,1.5,75.0,0.5,0.5,0.0,0.5,50.0,0.0,0.0,0.0,0.0,
Samuele Perisan,ITA,GK,Empoli,26,1997,1,1,90,1.0,2.0,2.0,5.0,3.0,60.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
Ivan Provedel,ITA,GK,Lazio,30,1994,28,28,2519,28.0,1.11,1.11,3.89,2.79,73.4,0.43,0.14,0.43,0.32,32.1,0.11,0.07,0.0,0.04,0.0
Boris Radunović,SRB,GK,Cagliari,27,1996,7,7,630,7.0,1.71,1.71,3.86,2.29,55.6,0.0,0.29,0.71,0.29,28.6,0.14,0.0,0.0,0.14,
Federico Ravaglia,ITA,GK,Bologna,24,1999,4,4,360,4.0,0.25,0.25,2.25,2.0,88.9,0.75,0.25,0.0,0.75,75.0,0.0,0.0,0.0,0.0,
Simone Scuffet,ITA,GK,Cagliari,27,1996,27,27,2430,27.0,1.74,1.74,4.15,2.48,60.7,0.26,0.33,0.41,0.07,7.4,0.11,0.11,0.0,0.0,0.0
Marco Silvestri,ITA,GK,Udinese,33,1991,17,17,1530,17.0,1.65,1.65,4.0,2.35,67.6,0.06,0.65,0.29,0.24,23.5,0.35,0.35,0.0,0.0,0.0
Łukasz Skorupski,POL,GK,Bologna,32,1991,31,31,2790,31.0,0.84,0.84,3.29,2.45,77.5,0.45,0.39,0.16,0.42,41.9,0.19,0.1,0.03,0.06,25.0
Yann Sommer,SUI,GK,Inter,35,1988,32,32,2880,32.0,0.56,0.56,2.78,2.19,82.0,0.81,0.16,0.03,0.56,56.3,0.13,0.06,0.03,0.03,33.3
Alessandro Sorrentino,ITA,GK,Monza,22,2002,5,3,368,4.1,3.17,3.18,5.61,2.44,60.9,0.0,0.24,0.49,0.0,0.0,0.98,0.98,0.0,0.0,0.0
Marco Sportiello,ITA,GK,Milan,31,1992,4,4,360,4.0,1.0,1.0,4.75,3.75,78.9,0.5,0.5,0.0,0.5,50.0,0.0,0.0,0.0,0.0,
Mile Svilar,SRB,GK,Roma,24,1999,11,11,990,11.0,1.27,1.27,4.73,3.45,75.0,0.55,0.27,0.18,0.36,36.4,0.18,0.09,0.09,0.0,50.0
Wojciech Szczęsny,POL,GK,Juventus,34,1990,32,32,2880,32.0,0.78,0.78,3.0,2.25,76.0,0.53,0.31,0.16,0.47,46.9,0.09,0.06,0.03,0.0,33.3
Pietro Terracciano,ITA,GK,Fiorentina,34,1990,30,30,2700,30.0,1.0,1.0,3.83,2.8,79.1,0.43,0.23,0.33,0.27,26.7,0.23,0.2,0.03,0.0,14.3
Stefano Turati,ITA,GK,Frosinone,22,2001,31,31,2745,30.5,1.9,1.9,4.98,3.08,65.1,0.2,0.3,0.52,0.13,12.9,0.23,0.16,0.03,0.03,16.7
Julen Agirrezabala,ESP,GK,Athletic Club,23,2000,1,1,90,1.0,2.0,2.0,4.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
